movie_id	title	is_adult	release_year	duration	genres	avg_rating	votes	directors	writers	actors
tt2176228	As It Is in Heaven	false	2014	86	Drama	7.5	66	Joshua Overbay	Ginny Lee Overbay|Joshua Overbay	Ben Zoeller|Joshua Overbay|Nathaniel Glass|Kassandra Botts|Timothy Morton|Michael Grout|Luke Beavers|Ginny Lee Overbay|Todd Bagley|Shannon Kathleen Baker
tt4137002	Long Live Hunting!	false	2014	66	Comedy,Documentary,Family	0.0	0	Jaroslav Kratochvíl	Jaroslav Kratochvíl	Ada Solomon|Jan Balcar|Jaroslav Kratochvíl|Pavla Kubeckova
tt4136676	Adomya	false	2014	99	Drama	6.8	5	Bobby Sarma Baruah	Bobby Sarma Baruah	Bobby Sarma Baruah|Basanta Kumar Baruah|Pranami Bora|Pankaj Sarma|Satya Prakash Rath|Saurabh Hazarika|Jyoti Narayan Nath|Ratul Deka|Sulakhyana Baruah
tt3216668	Wicker Kittens	false	2014	52	Comedy,Documentary,Sport	7.8	12	Amy C. Elliott		Portrait Of A Drowned Man|Amy C. Elliott|Mike Scholtz
tt2150371	The Crossing	false	2014	129	Drama	6.1	912	John Woo	Ching-hui Chen|Chao-Bin Su|Hui-Ling Wang	Chao-Bin Su|Hui-Ling Wang|John Woo|Ching-hui Chen|Xiaoming Huang|Hye-Kyo Song|Ziyi Zhang|Takeshi Kaneshiro|Tarô Iwashiro|Terence Chang
tt4121306	Lac Gioi	false	2014	93	Drama	7.2	30	Phi Tien Son	Trung Dung|Tien Son Phi	Phi Tien Son|Huy Tuan|Trung Dung|Joel Spezeski|Nguyen Manh Hung|Tien Son Phi|Binh An|Trung Dung|Binh An
tt3159212	The Eyes of Isabelle	false	2014	80	Horror	7.2	8	Mathew Kister	Mathew Kister	Dailen Cowden|Mathew Kister|Jeremy Cech|Jared Rodehorst|Danielle Brookshire|Deejay Scharton|Karrie Bauman
tt4119196	Love U Crazy Girl	false	2014	0	Mystery	3.0	6	Bhabhani Prasad	Bhabhani Prasad	Zarina Wahab|Mohan Joshi|Shakti Kapoor|Bhabhani Prasad|Aryan Vaid|Nitika Sharma|Ranjeet Sama
tt3326892	Christmas in Hollywood	false	2014	85	Adventure	4.9	17	Darren Dowler|Bertie Higgins	Darren Dowler|Bertie Higgins|Larry Madill	Andre Champagne|Larry Madill|Mike McMillin|Christopher Reed|Jiang Zi Long|Darren Dowler|Jocelyn Saenz|Bertie Higgins
tt3533614	Ishq Brandy	false	2014	124	Comedy,Romance	5.7	79	Amit Prasher	Rupinder Inderjit	Alfaaz|Rupinder Inderjit|Binnu Dhillon|Wamiqa Gabbi|Satish Aggarwal|Babbu Mittal|Amit Prasher|Mahesh Garg|Roshan Prince|Randhir Singh Dheera
